model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
logreg,k_center,0.583,0.575,0.575,0.583,0.105,0.108,0.108,0.105,6.884,0.006,0.599,0.384,0.432,0.392,0.695,0.0,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.001697540283203125
mlp,k_center,0.467,0.443,0.443,0.467,0.125,0.148,0.148,0.125,6.643,0.021,0.612,0.432,0.507,0.453,0.668,4.3e-05,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.001697540283203125
xgb,craig,0.642,0.595,0.623,0.667,0.203,0.233,0.218,0.183,4.215,0.019,0.674,0.688,0.843,0.85,0.807,6e-06,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0013718605041503906
rf,craig,0.608,0.554,0.583,0.633,0.182,0.205,0.193,0.163,14.085,0.248,0.653,0.514,0.623,0.565,0.756,1.6e-05,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0013718605041503906
svc,craig,0.733,0.702,0.729,0.767,0.226,0.254,0.226,0.2,6.882,0.002,0.653,0.619,0.777,0.757,0.711,6e-06,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0013718605041503906
logreg,craig,0.667,0.605,0.632,0.7,0.183,0.235,0.217,0.163,6.222,0.008,0.708,0.611,0.738,0.698,0.788,0.0,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0013718605041503906
mlp,craig,0.7,0.668,0.695,0.733,0.194,0.22,0.193,0.17,5.078,0.018,0.709,0.64,0.775,0.746,0.801,4.3e-05,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0013718605041503906
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.05,0.013,0.269,0.102,0.069,0.105,0.136,8e-06,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0015621185302734375
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.773,0.454,0.239,0.137,0.147,0.137,0.131,3.1e-05,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0015621185302734375
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.355,0.003,0.33,0.293,0.405,0.33,0.24,6e-06,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0015621185302734375
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.068,0.006,0.275,0.231,0.311,0.248,0.194,0.0,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0015621185302734375
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.325,0.108,0.372,0.33,0.452,0.376,0.339,1.3e-05,30,2,1319.2004675865173,497.3798713684082,5.488977073881877e-07,0.0015621185302734375
xgb,random,0.85,0.841,0.841,0.85,0.097,0.113,0.113,0.097,7.306,0.039,0.835,0.777,0.872,0.861,0.888,2e-05,30,3,,,,
rf,random,0.833,0.829,0.829,0.833,0.053,0.058,0.058,0.053,15.98,0.432,0.811,0.719,0.826,0.804,0.87,3.4e-05,30,3,,,,
svc,random,0.767,0.754,0.754,0.767,0.062,0.076,0.076,0.062,6.843,0.002,0.785,0.742,0.853,0.843,0.858,7e-06,30,3,,,,
logreg,random,0.783,0.774,0.774,0.783,0.067,0.081,0.081,0.067,6.861,0.006,0.797,0.768,0.872,0.866,0.881,0.0,30,3,,,,
mlp,random,0.7,0.693,0.693,0.7,0.067,0.066,0.066,0.067,6.425,0.022,0.732,0.655,0.784,0.756,0.813,3e-05,30,3,,,,
xgb,k-means,0.9,0.899,0.899,0.9,0.062,0.063,0.063,0.062,7.267,0.044,0.841,0.755,0.852,0.835,0.894,2e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0015766620635986328
rf,k-means,0.85,0.848,0.848,0.85,0.062,0.063,0.063,0.062,14.896,0.436,0.791,0.734,0.845,0.831,0.871,2.9e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0015766620635986328
svc,k-means,0.733,0.726,0.726,0.733,0.097,0.107,0.107,0.097,7.123,0.004,0.755,0.652,0.771,0.737,0.816,6e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0015766620635986328
logreg,k-means,0.817,0.813,0.813,0.817,0.082,0.085,0.085,0.082,7.236,0.009,0.693,0.59,0.717,0.673,0.777,1e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0015766620635986328
mlp,k-means,0.683,0.677,0.677,0.683,0.097,0.097,0.097,0.097,6.379,0.09,0.721,0.644,0.775,0.745,0.787,2.7e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0015766620635986328
xgb,ag,0.917,0.916,0.916,0.917,0.091,0.092,0.092,0.091,4.317,0.042,0.835,0.793,0.884,0.877,0.901,1.6e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001560211181640625
rf,ag,0.85,0.848,0.848,0.85,0.097,0.098,0.098,0.097,14.579,0.113,0.76,0.685,0.806,0.783,0.841,9e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001560211181640625
svc,ag,0.8,0.796,0.796,0.8,0.085,0.087,0.087,0.085,7.316,0.002,0.633,0.579,0.733,0.697,0.274,7e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001560211181640625
logreg,ag,0.817,0.806,0.806,0.817,0.082,0.097,0.097,0.082,6.896,0.007,0.74,0.628,0.747,0.708,0.781,1e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001560211181640625
mlp,ag,0.75,0.744,0.744,0.75,0.091,0.101,0.101,0.091,5.656,0.132,0.686,0.608,0.745,0.708,0.749,4.7e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001560211181640625
xgb,k_center,0.75,0.74,0.74,0.75,0.091,0.101,0.101,0.091,7.442,0.044,0.692,0.632,0.774,0.746,0.764,1.7e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0014247894287109375
rf,k_center,0.7,0.691,0.691,0.7,0.113,0.116,0.116,0.113,14.619,0.237,0.718,0.723,0.857,0.859,0.833,1.8e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0014247894287109375
svc,k_center,0.633,0.591,0.591,0.633,0.113,0.16,0.16,0.113,5.348,0.003,0.561,0.298,0.3,0.298,0.329,9e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0014247894287109375
logreg,k_center,0.6,0.573,0.573,0.6,0.082,0.095,0.095,0.082,7.312,0.006,0.547,0.374,0.436,0.387,0.632,0.0,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0014247894287109375
mlp,k_center,0.45,0.416,0.416,0.45,0.067,0.092,0.092,0.067,7.47,0.021,0.58,0.426,0.511,0.453,0.625,3.5e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0014247894287109375
xgb,craig,0.683,0.677,0.684,0.7,0.111,0.12,0.127,0.125,4.485,0.046,0.654,0.531,0.649,0.593,0.736,2e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001645803451538086
rf,craig,0.75,0.754,0.761,0.767,0.075,0.073,0.077,0.082,12.39,0.236,0.463,0.278,0.305,0.28,0.521,1.6e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001645803451538086
svc,craig,0.758,0.741,0.749,0.767,0.14,0.152,0.146,0.133,7.001,0.001,0.476,0.302,0.342,0.307,0.514,5e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001645803451538086
logreg,craig,0.717,0.703,0.71,0.733,0.163,0.175,0.179,0.17,6.523,0.005,0.521,0.231,0.201,0.234,0.636,0.0,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001645803451538086
mlp,craig,0.642,0.614,0.636,0.667,0.21,0.221,0.196,0.183,5.222,0.051,0.496,0.314,0.354,0.319,0.512,8.2e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.001645803451538086
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.787,0.092,0.21,0.117,0.123,0.117,0.092,1.5e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0035686492919921875
rf,lc,0.983,0.983,0.983,0.983,0.033,0.034,0.034,0.033,16.365,0.202,0.216,0.143,0.171,0.145,0.117,1.6e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0035686492919921875
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.135,0.003,0.302,0.225,0.285,0.235,0.222,4e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0035686492919921875
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.844,0.006,0.281,0.199,0.245,0.204,0.189,1e-06,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0035686492919921875
mlp,lc,0.983,0.983,0.983,0.983,0.033,0.034,0.034,0.033,5.708,0.086,0.323,0.26,0.34,0.278,0.233,2.9e-05,30,3,1631.3226790428162,1017.4471294879913,6.010631854506004e-07,0.0035686492919921875
